,Model,Split Size,Slice Accuracy,Slice Loss,Song Accuracy,Execution Time
0,MusicCNN,1s,0.805,0.8079198868672053,0.88,0h 46m 50s
1,MusicCNN,3s,0.826,0.8229764394760132,0.89,0h 49m 38s
2,MusicCNN,5s,0.8583333333333333,0.8299934013684591,0.89,0h 51m 58s
3,MusicCNN,10s,0.84,1.0250832653045654,0.86,0h 52m 19s
4,MusicCNN,20s,0.78,1.372589054107666,0.78,0h 35m 20s
5,MusicCNN,30s,0.72,1.3946396350860597,0.72,2h 42m 3s
6,MusicCRNN,1s,0.7966666666666666,0.813256333510081,0.91,0h 47m 18s
7,MusicCRNN,3s,0.734,0.981551478624344,0.84,0h 41m 21s
8,MusicCRNN,5s,0.6966666666666667,1.085744988123576,0.8,0h 41m 52s
9,MusicCRNN,10s,0.72,1.1749256944656372,0.79,0h 41m 33s
10,MusicCRNN,20s,0.63,1.3464576816558838,0.63,2h 21m 39s
11,MusicCRNN,30s,0.62,1.4578724765777589,0.62,4h 40m 10s
