,Model,Split Size,Slice Accuracy,Slice Loss,Song Accuracy,Execution Time,Epoch
0,MusicCNN,1s,0.7991666666666667,0.8332288451790809,0.9,0h 21m 1s,106
1,MusicCNN,3s,0.8205263157894737,0.8359026940245378,0.86,0h 24m 59s,82
2,MusicCNN,5s,0.8372727272727273,0.8710557313398881,0.85,0h 24m 19s,84
3,MusicCNN,10s,0.836,0.987051441192627,0.88,0h 38m 37s,133
4,MusicCRNN2D,1s,0.8333333333333334,0.746949385046959,0.94,0h 13m 12s,48
5,MusicCRNN2D,3s,0.8078947368421052,0.8572936429475483,0.89,0h 11m 48s,43
6,MusicCRNN2D,5s,0.8190909090909091,0.8851883194663308,0.89,0h 13m 50s,68
7,MusicCRNN2D,10s,0.778,0.9759823226928712,0.85,0h 18m 24s,66
8,MusicCRNN1D,1s,0.5648333333333333,1.7309636125564576,0.7,0h 11m 57s,97
9,MusicCRNN1D,3s,0.5510526315789473,1.7096873275857225,0.62,0h 2m 33s,65
10,MusicCRNN1D,5s,0.5972727272727273,1.698943519592285,0.69,0h 3m 30s,123
11,MusicCRNN1D,10s,0.532,1.783525552749634,0.59,0h 2m 3s,124
12,MusicRNN,1s,0.6378333333333334,1.2230633710006171,0.78,0h 5m 56s,45
13,MusicRNN,3s,0.6210526315789474,1.2467606188984293,0.71,0h 2m 14s,42
14,MusicRNN,5s,0.6018181818181818,1.1574554492668672,0.63,0h 0m 43s,46
15,MusicRNN,10s,0.502,1.3741582012176514,0.53,0h 0m 49s,47
